ID,ILLUM,HUMID,CO2,SOUND,TEMP,RYTHM
65,476.53,75.65,430.41,31.56,19.64,0.0
66,434.93,68.88,521.83,23.59,21.13,0.0
67,373.3,67.41,476.76,18.92,20.22,0.0
68,451.94,65.02,475.38,28.72,21.1,0.0
69,504.49,64.86,444.47,48.62,18.19,0.0
70,512.86,71.0,478.32,31.0,16.27,0.0
71,447.31,71.15,493.16,23.61,20.76,0.0
72,394.76,71.24,426.7,24.42,20.27,0.0
73,341.71,64.31,508.85,26.34,23.66,0.0
74,433.73,67.77,499.65,26.88,23.45,0.0
75,378.26,55.01,498.63,40.48,20.48,0.0
76,357.03,58.56,567.36,40.73,20.07,0.0
77,436.45,66.99,466.17,45.14,17.69,0.0
78,353.34,65.32,480.15,32.37,20.16,0.0
79,525.27,55.87,450.95,30.41,19.04,0.0
80,523.32,64.91,440.55,32.51,17.71,0.0
81,377.37,62.51,471.43,21.51,19.65,0.0
82,433.7,70.68,452.34,32.45,18.46,0.0
83,454.21,60.65,581.39,33.28,18.24,0.0
84,321.04,65.06,567.23,35.07,20.4,0.0
85,541.71,72.9,464.71,30.86,17.52,0.0
86,530.04,73.96,474.97,39.19,18.29,0.0
87,448.45,60.9,533.43,31.93,19.29,0.0
88,459.17,75.15,520.53,30.9,21.43,0.0
89,503.98,63.29,539.77,26.56,20.74,0.0
90,384.22,72.32,482.21,29.79,19.91,0.0
91,435.11,57.89,461.84,38.11,23.39,0.0
92,574.64,62.62,413.03,36.55,17.19,0.0
93,391.52,69.33,474.28,28.66,19.19,0.0
94,575.74,69.49,535.75,26.81,18.6,0.0
95,557.9,66.56,544.17,36.41,22.36,0.0
96,334.6,70.09,482.17,30.02,18.97,0.0
97,498.29,70.65,459.74,29.51,19.49,0.0
98,501.62,68.71,511.43,31.34,19.82,0.0
99,579.22,66.69,431.93,37.4,19.72,0.0
100,448.4,66.23,514.71,24.92,19.24,0.0
101,531.62,71.55,537.24,36.68,18.24,0.0
102,390.08,58.53,522.9,32.26,22.15,0.0
103,572.36,66.31,514.42,29.06,19.62,0.0
104,328.96,68.82,494.08,34.0,18.66,0.0
105,323.69,59.91,479.1,25.45,18.78,0.0
106,374.45,70.26,458.52,24.34,21.51,0.0
107,347.77,64.88,541.79,30.14,21.11,0.0
108,398.15,63.84,489.03,32.1,21.3,0.0
109,420.39,63.17,487.01,39.41,18.62,0.0
110,592.96,65.28,546.55,26.76,19.75,0.0
111,480.26,64.59,560.16,34.92,19.49,0.0
112,369.64,56.3,473.15,50.34,21.89,0.0
113,471.24,71.37,488.96,34.39,19.72,0.0
114,381.42,79.34,511.85,28.42,15.85,0.0
115,442.84,64.37,477.98,34.7,18.25,0.0
116,323.09,64.88,568.97,39.86,18.7,0.0
117,569.08,68.89,512.96,31.73,19.26,0.0
118,369.6,66.19,502.72,26.74,21.83,0.0
119,421.3,62.97,496.74,33.73,19.55,0.0
120,535.0,60.27,482.38,34.0,20.97,0.0
121,465.95,71.55,505.87,22.93,19.77,0.0
122,430.0,60.6,435.48,36.77,16.43,0.0
123,422.43,72.76,454.67,38.54,19.72,0.0
124,453.62,67.26,515.87,24.59,21.18,0.0
125,414.14,71.06,499.61,32.66,20.74,0.0
126,432.26,68.92,412.23,23.17,23.46,0.0
127,359.99,69.22,483.53,29.87,19.63,0.0
128,627.61,60.03,455.89,35.5,19.77,0.0
129,554.18,62.39,446.78,35.32,19.61,0.0
130,409.12,76.03,510.27,20.23,17.37,0.0
131,511.08,69.78,497.96,31.45,17.34,0.0
132,357.12,66.26,517.37,23.78,22.7,0.0
133,355.25,65.95,485.35,32.81,20.01,0.0
134,429.12,60.87,477.85,33.3,20.19,0.0
135,557.17,73.36,446.39,28.17,19.73,0.0
136,411.58,66.31,452.23,34.99,20.04,0.0
137,518.49,79.5,464.97,19.8,19.92,0.0
138,297.61,62.24,515.2,22.94,22.06,0.0
139,378.12,66.14,571.08,42.08,18.86,0.0
140,367.24,59.6,507.72,30.81,21.22,0.0
141,381.85,61.68,501.83,42.87,19.51,0.0
142,361.7,65.07,480.62,35.34,18.24,0.0
143,504.78,69.8,545.63,25.78,18.71,0.0
144,430.55,56.25,515.5,17.42,21.41,0.0
145,476.31,65.47,526.97,26.76,19.36,0.0
146,392.52,69.73,516.43,38.94,20.01,0.0
147,500.83,64.61,473.07,28.12,19.7,0.0
148,473.59,78.51,488.88,24.23,21.65,0.0
149,237.46,66.09,534.56,30.77,19.81,0.0
150,469.67,66.64,462.93,23.88,18.59,0.0
151,421.65,73.23,534.66,27.35,21.17,0.0
152,589.59,67.14,534.84,32.02,19.22,0.0
153,462.17,63.18,527.97,26.7,19.36,0.0
154,397.05,71.37,482.76,19.48,19.75,0.0
155,350.47,65.74,527.29,18.68,21.71,0.0
156,325.3,75.0,474.86,19.74,22.93,0.0
157,324.64,77.88,458.95,27.31,20.77,0.0
158,406.37,62.19,508.18,35.25,21.18,0.0
159,464.09,66.53,491.26,16.04,19.84,0.0
160,517.5,71.95,557.98,33.03,20.8,0.0
161,375.58,69.8,446.9,24.44,19.74,0.0
162,394.49,64.66,558.34,38.87,21.31,0.0
163,595.28,64.14,401.43,25.02,23.61,0.0
164,517.18,71.05,483.34,29.58,19.3,0.0
165,509.44,58.15,470.36,38.62,20.55,0.0
166,599.02,54.57,460.97,25.17,20.25,0.0
167,616.02,71.47,431.14,28.04,22.11,0.0
168,460.0,61.93,473.12,35.32,20.51,0.0
169,437.96,75.3,380.53,26.74,20.63,0.0
170,470.32,63.46,481.21,37.82,23.29,0.0
171,289.01,71.51,509.97,26.22,20.01,0.0
172,311.43,59.78,521.93,37.32,19.91,0.0
173,478.05,63.57,559.05,37.51,19.96,0.0
174,572.54,64.12,409.65,35.41,21.7,0.0
175,401.01,71.24,533.44,27.3,17.9,0.0
176,424.53,74.32,461.45,36.76,18.65,0.0
177,714.73,69.14,493.07,23.74,18.26,0.0
178,313.0,75.98,477.77,19.5,21.64,0.0
179,515.73,66.91,476.76,31.22,18.63,0.0
180,455.93,61.99,506.51,32.54,22.52,0.0
181,405.26,68.35,465.03,35.01,18.19,0.0
182,437.38,73.91,534.46,33.05,19.07,0.0
183,518.46,71.8,457.88,14.74,20.49,0.0
184,362.01,65.47,482.52,34.04,20.14,0.0
185,437.42,57.74,557.37,27.24,23.35,0.0
186,391.05,72.58,502.93,35.08,19.97,0.0
187,268.68,48.35,538.89,48.72,19.16,0.0
188,537.95,68.93,545.48,28.47,21.76,0.0
189,492.99,62.98,486.97,30.25,19.41,0.0
190,460.93,67.67,503.34,22.38,18.52,0.0
191,342.44,70.17,495.39,22.3,21.39,0.0
192,326.93,60.68,462.63,36.4,18.96,0.0
193,398.36,62.35,415.41,31.33,20.47,0.0
194,428.97,66.0,518.9,38.26,21.44,0.0
195,588.64,70.66,488.37,29.48,21.43,0.0
196,459.19,66.43,538.83,40.0,17.34,0.0
197,248.83,76.1,586.05,19.04,20.07,0.0
198,468.52,66.42,445.46,23.26,23.38,0.0
199,614.16,62.43,522.32,35.35,18.97,0.0
200,217.19,67.34,523.36,28.92,17.62,0.0
201,519.98,77.81,518.24,28.17,20.28,0.0
202,399.42,64.49,531.98,39.22,19.05,0.0
203,575.34,70.39,492.23,27.76,20.13,0.0
204,397.58,58.33,524.54,22.02,19.91,0.0
205,455.85,64.79,520.17,29.89,19.62,0.0
206,432.86,63.74,474.36,35.54,21.52,0.0
207,458.33,67.08,486.73,21.79,18.01,0.0
208,412.26,58.03,496.2,37.32,20.18,0.0
209,389.6,71.95,544.02,25.93,22.56,0.0
210,264.39,78.16,532.68,24.76,20.49,0.0
211,320.38,69.39,565.06,41.61,18.56,0.0
212,367.05,66.98,465.92,28.93,20.23,0.0
213,466.24,66.53,466.82,20.63,20.8,0.0
214,426.86,76.55,616.29,19.7,19.61,0.0
215,436.68,66.39,424.36,28.67,18.81,0.0
216,414.93,73.62,517.96,32.82,18.36,0.0
217,343.02,66.05,464.35,25.1,21.45,0.0
218,459.88,70.51,489.49,41.08,16.77,0.0
219,484.72,69.19,486.01,19.88,25.55,0.0
220,646.06,59.45,524.49,30.94,20.7,0.0
221,530.31,62.06,467.18,41.45,20.09,0.0
222,373.3,57.7,446.38,40.37,21.58,0.0
223,385.11,69.59,531.15,26.15,22.65,0.0
224,443.84,65.02,492.14,29.6,20.41,0.0
225,370.16,63.05,458.77,30.69,20.39,0.0
226,546.99,75.72,506.59,35.77,20.47,0.0
227,380.07,66.6,519.1,27.08,21.64,0.0
228,510.21,65.82,489.01,34.67,21.17,0.0
229,481.11,68.65,470.05,28.52,22.55,0.0
230,440.4,62.95,414.24,19.05,18.72,0.0
231,428.76,69.82,479.08,37.53,19.09,0.0
232,537.59,66.61,462.24,27.22,19.41,0.0
233,606.0,64.19,475.72,35.37,19.8,0.0
234,479.8,66.06,452.18,32.45,21.86,0.0
235,541.99,69.59,524.73,29.07,18.4,0.0
236,442.35,59.77,417.0,34.76,23.66,0.0
237,334.37,68.78,512.05,25.04,17.95,0.0
238,420.81,66.64,499.72,32.45,19.83,0.0
239,424.1,60.58,478.79,48.42,18.63,0.0
240,536.02,70.5,504.49,26.3,19.06,0.0
241,504.98,72.54,521.26,36.25,19.13,0.0
242,331.37,63.05,523.39,29.65,22.22,0.0
243,230.06,61.0,494.61,24.3,22.64,0.0
244,390.65,71.36,581.54,22.67,18.64,0.0
245,449.46,58.87,517.89,35.99,21.86,0.0
246,553.59,69.28,566.66,28.73,21.53,0.0
247,270.15,67.16,507.17,21.52,19.83,0.0
248,353.68,65.49,533.47,27.47,19.79,0.0
249,408.68,71.99,557.8,29.48,19.36,0.0
250,559.77,70.85,556.73,27.1,19.5,0.0
251,434.15,71.86,522.32,25.61,20.33,0.0
252,314.57,69.58,487.6,39.96,20.69,0.0
253,377.46,58.64,488.34,28.59,20.59,0.0
254,556.07,70.83,517.61,31.35,19.95,0.0
255,584.52,73.81,523.48,24.62,20.79,0.0
256,410.3,64.98,507.4,14.88,23.6,0.0
257,433.09,72.3,481.95,27.42,22.24,0.0
258,406.69,66.25,527.64,32.52,21.55,0.0
259,344.9,61.41,497.96,38.8,21.32,0.0
260,460.2,68.13,566.33,28.6,19.93,0.0
261,393.85,69.37,480.34,14.44,22.69,0.0
262,448.18,58.29,474.53,30.47,18.06,0.0
263,434.54,59.5,514.54,39.51,21.01,0.0
264,457.74,60.48,468.0,29.51,21.77,0.0
265,596.18,61.0,471.4,43.79,20.78,0.0
266,414.52,59.37,503.81,41.71,20.0,0.0
267,442.92,57.36,486.15,35.93,22.41,0.0
268,526.76,66.93,500.62,36.41,17.14,0.0
269,407.9,59.55,451.39,33.22,22.65,0.0
270,287.57,72.2,488.35,31.14,20.13,0.0
271,541.44,72.38,506.08,26.87,20.12,0.0
272,487.97,64.67,533.74,31.34,20.45,0.0
273,454.36,68.51,486.63,24.58,19.84,0.0
274,470.35,65.62,586.57,40.24,18.41,0.0
275,405.32,64.54,543.51,21.64,20.24,0.0
276,370.82,58.18,535.54,36.87,21.24,0.0
277,293.05,62.32,474.16,26.11,20.56,0.0
278,468.85,80.2,584.84,15.84,16.4,0.0
279,563.96,68.56,447.96,38.27,18.72,0.0
280,503.3,68.35,444.71,30.26,20.45,0.0
281,381.87,64.38,433.84,22.79,21.17,0.0
282,399.73,65.52,513.91,33.51,21.67,0.0
283,510.9,70.51,466.61,31.82,19.52,0.0
284,362.03,74.21,499.52,22.02,18.01,0.0
285,406.75,60.96,491.64,35.72,20.66,0.0
286,460.06,63.75,474.93,32.74,20.63,0.0
287,406.79,66.88,549.64,20.99,15.23,0.0
288,515.0,71.55,463.39,29.72,20.39,0.0
289,554.47,62.33,491.55,32.1,20.8,0.0
290,349.79,71.3,444.22,43.17,19.79,0.0
291,416.82,62.54,443.67,38.06,20.54,0.0
292,513.57,62.9,513.24,38.19,20.99,0.0
293,307.41,68.2,437.61,34.4,20.43,0.0
294,412.93,64.04,508.25,23.43,22.25,0.0
295,546.89,65.98,456.67,34.25,20.63,0.0
296,346.8,67.1,439.82,22.53,18.92,0.0
297,505.86,58.58,492.65,28.11,21.8,0.0
298,393.53,75.43,523.27,36.34,23.33,0.0
299,236.35,64.69,552.64,25.42,21.23,0.0
300,449.09,64.73,551.04,25.05,18.94,0.0
301,418.8,62.1,519.86,30.32,20.82,0.0
302,589.61,64.47,439.54,36.64,19.72,0.0
303,258.47,62.94,538.89,30.98,20.36,0.0
304,467.0,66.46,559.27,31.58,19.55,0.0
305,489.95,68.1,515.87,24.1,21.57,0.0
306,316.88,69.17,488.31,30.68,22.35,0.0
307,369.7,77.02,519.5,29.77,21.63,0.0
308,469.79,60.12,482.82,32.07,21.8,0.0
309,494.77,70.94,480.85,32.46,21.72,0.0
310,420.17,73.65,440.93,25.16,17.18,0.0
311,95.05,70.5,544.69,35.19,21.76,0.0
312,496.22,70.26,532.63,36.39,18.07,0.0
313,474.87,64.92,446.38,36.65,21.11,0.0
314,433.25,70.51,543.55,34.22,19.31,0.0
315,475.87,75.18,555.13,22.79,20.38,0.0
316,321.82,67.79,556.93,35.92,18.83,0.0
317,437.66,58.16,515.19,25.94,21.39,0.0
318,474.76,62.63,448.13,24.54,17.86,0.0
319,397.51,72.56,652.55,40.54,17.1,0.0
320,310.1,66.95,488.29,30.86,20.43,0.0
321,370.22,61.34,562.73,27.6,21.75,0.0
322,524.82,75.46,489.42,30.76,20.17,0.0
323,581.88,68.97,385.11,35.03,19.07,0.0
324,428.06,76.39,464.54,22.11,22.14,0.0
325,410.17,67.47,480.86,35.31,18.43,0.0
326,395.91,63.34,461.53,31.04,20.49,0.0
327,482.81,63.63,534.15,36.74,20.23,0.0
328,322.37,65.59,452.43,37.82,18.16,0.0
329,450.65,74.23,555.7,30.86,17.79,0.0
330,403.55,64.98,457.0,36.39,15.64,0.0
331,324.58,64.4,489.1,29.01,18.04,0.0
332,379.16,56.39,520.41,43.48,20.17,0.0
333,318.21,61.23,505.08,23.58,20.43,0.0
334,642.67,66.7,498.99,29.42,22.93,0.0
335,433.13,60.54,541.59,32.84,20.72,0.0
336,355.45,62.17,546.76,29.01,19.92,0.0
337,506.96,59.45,436.15,44.72,21.68,0.0
338,418.36,58.45,485.78,25.31,23.6,0.0
339,590.26,64.53,503.99,48.82,20.79,0.0
340,307.56,63.46,526.1,45.23,18.43,0.0
341,465.52,73.38,437.49,30.21,19.98,0.0
342,432.21,74.73,525.83,19.77,22.35,0.0
343,562.84,60.83,443.92,32.99,21.0,0.0
344,494.91,60.73,431.2,24.33,21.18,0.0
345,532.07,63.18,476.06,28.33,20.34,0.0
346,426.22,60.09,499.07,30.71,20.49,0.0
347,452.8,66.03,533.47,27.58,19.0,0.0
348,403.18,64.44,455.99,32.71,17.68,0.0
349,340.97,61.29,457.55,31.72,21.9,0.0
350,528.42,75.49,533.11,30.94,16.58,0.0
351,491.85,65.53,431.84,26.6,22.02,0.0
352,448.38,63.41,437.13,39.02,21.61,0.0
353,494.36,56.54,500.79,33.22,18.06,0.0
354,392.54,66.17,494.35,27.44,21.69,0.0
355,430.17,67.99,572.52,26.32,21.22,0.0
356,480.51,61.09,527.99,16.82,19.76,0.0
357,416.46,72.67,566.17,25.57,19.07,0.0
358,382.9,64.17,471.22,30.33,19.04,0.0
359,329.83,59.27,476.0,33.03,18.42,0.0
360,329.67,69.36,524.0,25.93,18.57,0.0
361,520.1,65.09,466.78,31.17,22.18,0.0
362,336.29,75.93,498.95,37.92,19.92,0.0
363,298.51,65.6,506.85,18.93,21.33,0.0
364,552.24,61.75,429.71,25.31,22.14,0.0
365,608.0,69.23,412.09,27.04,19.36,0.0
366,565.83,74.6,471.81,23.99,16.95,0.0
367,416.33,63.91,529.51,27.86,19.87,0.0
368,414.18,71.9,533.35,32.34,20.72,0.0
369,507.57,64.54,510.68,30.15,18.55,0.0
370,454.25,69.63,484.57,27.65,18.83,0.0
371,420.08,67.17,569.23,30.59,17.7,0.0
372,435.76,70.59,462.48,14.51,18.87,0.0
373,427.41,59.39,492.56,42.71,18.48,0.0
374,458.83,65.17,475.88,34.03,17.78,0.0
375,528.04,66.94,466.43,24.43,22.27,0.0
376,268.61,68.05,493.37,22.66,20.46,0.0
377,494.19,74.83,462.08,36.64,20.71,0.0
378,517.06,61.62,499.56,30.49,21.48,0.0
379,391.31,71.72,480.77,24.79,18.39,0.0
380,494.38,70.29,443.03,26.54,20.02,0.0
381,404.73,70.39,486.97,22.93,19.85,0.0
382,410.85,67.63,558.82,32.5,14.96,0.0
383,364.22,66.13,562.83,28.09,18.98,0.0
384,447.95,73.26,462.81,27.88,19.12,0.0
385,505.98,66.91,454.61,34.35,21.7,0.0
386,330.27,67.88,432.49,19.48,18.37,0.0
387,479.19,68.32,413.28,34.93,19.13,0.0
388,532.95,72.25,480.65,19.73,21.04,0.0
389,316.49,70.16,483.13,35.01,17.5,0.0
390,469.57,75.84,542.75,29.47,18.92,0.0
391,741.84,67.76,446.12,28.2,16.27,0.0
392,390.23,70.23,497.86,35.61,20.4,0.0
393,426.37,64.91,492.65,23.22,20.91,0.0
394,454.12,58.25,431.13,42.05,20.55,0.0
395,203.14,61.21,498.55,29.56,21.53,0.0
396,384.44,68.52,538.6,25.84,20.43,0.0
397,409.37,57.33,520.93,31.43,23.56,0.0
398,481.15,59.99,457.59,30.32,23.32,0.0
399,428.72,67.2,510.11,41.88,17.76,0.0
400,292.28,65.71,553.17,44.82,18.88,0.0
401,395.26,68.67,570.49,30.0,19.91,0.0
402,459.82,59.56,507.04,28.09,18.62,0.0
403,557.76,70.36,437.08,22.03,18.92,0.0
404,415.45,63.55,498.69,35.66,18.39,0.0
405,469.26,62.85,483.0,29.33,23.46,0.0
406,584.2,57.79,474.05,32.05,21.14,0.0
407,400.09,73.32,506.2,35.08,17.53,0.0
408,418.56,57.89,489.29,26.67,22.93,0.0
409,458.33,65.9,522.88,23.15,23.82,0.0
410,263.51,70.25,470.52,26.14,19.62,0.0
411,387.12,62.15,529.71,35.33,18.97,0.0
412,429.9,64.16,471.81,27.98,22.38,0.0
413,485.29,61.35,425.84,41.3,19.12,0.0
414,325.1,72.26,477.03,21.87,18.62,0.0
415,497.27,69.54,482.41,22.6,20.78,0.0
416,333.18,74.4,592.07,33.03,19.99,0.0
417,461.66,67.35,448.67,28.78,19.98,0.0
418,510.32,65.63,481.27,30.6,19.34,0.0
419,374.1,66.93,559.07,27.91,19.07,0.0
420,306.29,78.42,505.82,27.04,20.83,0.0
421,493.73,67.91,520.21,32.12,21.53,0.0
422,284.03,73.11,510.01,22.42,22.13,0.0
423,443.08,63.09,425.4,42.13,19.31,0.0
424,330.09,65.08,540.57,23.11,20.56,0.0
425,409.61,61.32,517.2,28.91,20.92,0.0
426,353.19,67.47,492.75,23.03,21.85,0.0
427,354.52,69.43,525.45,27.06,20.44,0.0
428,358.65,69.87,456.79,34.54,20.58,0.0
429,448.91,59.06,494.91,36.2,19.79,0.0
430,556.38,67.67,505.58,31.46,21.69,0.0
431,393.15,79.34,524.46,24.26,18.49,0.0
432,383.81,69.79,536.12,28.87,18.94,0.0
433,333.18,67.19,455.99,24.44,19.5,0.0
434,523.61,72.49,457.0,17.54,20.04,0.0
435,538.14,68.93,517.35,31.1,21.45,0.0
436,467.53,67.4,518.1,31.17,20.73,0.0
437,413.9,66.99,459.17,37.49,18.5,0.0
438,471.18,61.91,474.56,38.21,20.92,0.0
439,387.67,57.6,504.14,32.28,23.46,0.0
440,508.92,71.72,450.16,28.76,22.54,0.0
441,375.08,70.47,541.09,28.7,22.64,0.0
442,279.56,60.16,498.96,27.71,21.76,0.0
443,644.33,69.11,493.47,23.08,19.56,0.0
444,348.68,54.74,505.62,26.22,20.58,0.0
445,471.51,64.38,457.5,36.12,22.56,0.0
446,318.17,67.54,481.72,26.96,20.91,0.0
447,502.92,66.86,503.88,28.45,18.2,0.0
448,344.73,69.33,582.97,25.66,20.71,0.0
449,512.38,64.85,550.13,28.24,20.16,0.0
450,396.79,69.0,537.58,28.73,17.9,0.0
451,304.98,65.86,504.93,37.61,19.34,0.0
452,519.14,75.88,508.54,38.76,18.17,0.0
453,552.48,61.77,472.53,37.27,19.99,0.0
454,294.6,64.7,465.8,26.83,21.87,0.0
455,458.81,65.05,468.79,30.32,19.92,0.0
456,442.59,64.02,473.26,34.16,20.23,0.0
457,389.2,66.37,467.75,36.57,22.49,0.0
458,492.9,64.18,503.19,30.89,20.42,0.0
459,463.58,68.0,557.1,36.5,17.01,0.0
460,505.58,64.75,532.24,33.8,18.59,0.0
461,460.39,63.06,472.57,30.22,19.99,0.0
462,317.47,72.69,533.85,19.6,20.48,0.0
463,518.51,63.58,488.63,38.7,18.89,0.0
464,334.81,74.82,435.7,29.56,20.44,0.0
465,309.68,64.47,532.05,26.87,19.79,0.0
466,514.45,70.54,563.74,40.73,18.68,0.0
467,399.29,62.45,454.53,28.7,20.99,0.0
468,418.03,71.3,587.47,35.02,19.88,0.0
469,454.94,73.46,468.75,27.47,21.16,0.0
470,485.68,63.36,510.03,30.29,20.16,0.0
471,435.74,62.95,489.69,29.07,20.35,0.0
472,476.45,70.5,490.27,41.75,17.86,0.0
473,466.82,61.01,490.91,26.77,23.16,0.0
474,481.99,68.66,482.62,26.82,22.07,0.0
475,435.44,69.09,537.99,25.66,20.38,0.0
476,389.91,60.34,531.11,26.98,20.17,0.0
477,523.11,65.72,512.93,34.87,21.54,0.0
478,391.83,67.46,488.67,29.37,20.18,0.0
479,406.42,67.79,512.32,20.78,22.9,0.0
480,421.65,62.86,470.51,33.73,19.56,0.0
481,514.33,69.9,477.86,40.09,19.73,0.0
482,407.8,58.63,443.47,32.62,20.02,0.0
483,482.6,68.85,501.61,33.95,22.43,0.0
484,431.37,68.28,497.87,35.93,18.49,0.0
485,399.1,63.06,452.42,29.51,18.69,0.0
486,530.73,69.51,479.04,26.05,16.1,0.0
487,524.2,66.22,490.26,35.69,17.87,0.0
488,392.01,60.81,524.51,32.14,20.21,0.0
489,493.01,68.37,480.9,30.87,23.26,0.0
490,440.35,61.77,495.02,15.21,24.43,0.0
491,448.51,71.69,443.51,30.25,18.72,0.0
492,350.6,63.68,499.58,25.63,21.78,0.0
493,326.68,68.79,468.03,14.06,23.39,0.0
494,582.22,66.8,484.85,38.42,21.54,0.0
495,484.27,59.6,417.33,38.51,20.98,0.0
496,448.66,60.13,506.07,36.63,21.5,0.0
497,445.88,70.61,562.22,34.35,19.37,0.0
498,339.53,70.17,489.89,42.38,19.48,0.0
499,489.59,61.64,501.62,28.5,21.92,0.0
500,340.86,67.38,474.52,29.56,18.51,0.0
501,334.74,55.75,476.83,33.06,20.96,0.0
502,473.07,66.48,549.21,21.4,20.91,0.0
503,411.77,72.13,528.15,32.63,20.19,0.0
504,317.35,73.77,530.84,33.95,20.75,0.0
505,408.27,53.59,494.54,37.19,19.29,0.0
506,350.99,67.21,519.39,31.17,19.69,0.0
507,346.08,66.22,470.84,35.91,22.82,0.0
508,641.82,70.85,492.04,28.49,20.03,0.0
509,389.34,64.62,501.71,28.74,20.31,0.0
510,411.99,69.55,471.91,20.41,19.97,0.0
511,451.17,71.87,466.65,30.01,20.43,0.0
512,563.82,66.71,445.79,17.58,21.08,0.0
513,619.39,76.64,458.11,31.75,19.4,0.0
514,408.6,63.62,531.98,29.54,21.62,0.0
515,539.34,56.89,411.92,27.9,21.82,0.0
516,256.53,73.87,564.35,27.38,21.67,0.0
517,354.28,73.41,579.26,34.28,18.58,0.0
518,507.92,72.54,519.55,23.02,17.95,0.0
519,425.68,66.17,541.99,40.96,22.84,0.0
520,552.64,70.45,482.21,30.5,17.82,0.0
521,391.95,65.05,498.99,31.18,17.94,0.0
522,508.16,73.45,569.21,26.69,19.36,0.0
523,526.59,71.63,509.25,26.35,18.41,0.0
524,433.87,70.29,450.55,23.28,18.17,0.0
525,376.8,73.01,429.84,30.99,18.3,0.0
526,480.65,67.05,519.77,40.31,19.44,0.0
527,525.87,70.53,515.47,17.45,22.38,0.0
528,317.23,63.66,468.44,21.87,19.69,0.0
529,517.12,70.51,494.43,31.88,20.81,0.0
530,428.86,69.7,521.64,36.13,19.63,0.0
531,470.93,62.66,442.87,23.06,18.92,0.0
532,344.61,65.31,558.47,40.16,22.06,0.0
533,406.71,61.05,471.32,34.57,17.45,0.0
534,418.22,68.44,541.29,27.67,19.88,0.0
